timestamp,source_ip,dest_ip,protocol,action,threat_label,log_type,bytes_transferred,user_agent,request_path
2024-05-01T00:00:00,192.168.1.125,192.168.1.124,TCP,blocked,benign,firewall,10889,Nmap Scripting Engine,/
2024-07-18T00:00:00,192.168.1.201,192.168.1.201,ICMP,blocked,benign,application,36522,Nmap Scripting Engine,/
2024-04-07T00:00:00,192.168.1.248,192.168.1.15,HTTP,allowed,benign,application,20652,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/login
2024-10-26T00:00:00,192.168.1.236,192.168.1.219,HTTP,allowed,benign,application,5350,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/login
2024-10-31T00:00:00,192.168.1.221,192.168.1.61,ICMP,allowed,benign,application,40691,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/
2024-12-02T00:00:00,192.168.1.134,192.168.1.81,FTP,allowed,benign,application,15742,curl/7.64.1,/backup
2024-03-08T00:00:00,192.168.1.77,192.168.1.118,UDP,allowed,benign,firewall,30134,SQLMap/1.6-dev,/
2024-02-07T00:00:00,192.168.1.130,192.168.1.68,TCP,blocked,benign,firewall,16109,curl/7.64.1,/
2024-03-21T00:00:00,192.168.1.140,192.168.1.181,UDP,allowed,benign,application,36446,curl/7.64.1,/
2024-03-09T00:00:00,192.168.1.228,192.168.1.28,HTTPS,allowed,benign,ids,18565,SQLMap/1.6-dev,/secure
2024-06-24T00:00:00,192.168.1.163,192.168.1.219,UDP,blocked,benign,ids,3429,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/
2024-05-21T00:00:00,192.168.1.86,192.168.1.198,TCP,blocked,benign,firewall,48677,Nmap Scripting Engine,/
2024-10-14T00:00:00,192.168.1.20,192.168.1.242,HTTPS,allowed,benign,application,2461,curl/7.64.1,/admin/config
2024-10-09T00:00:00,192.168.1.33,192.168.1.11,UDP,allowed,benign,ids,13867,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/
2024-06-30T00:00:00,88.29.76.112,192.168.1.250,HTTP,allowed,benign,firewall,11703,Nmap Scripting Engine,/login
2024-04-01T00:00:00,103.93.57.36,192.168.1.201,FTP,allowed,benign,ids,25170,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/backup
2024-04-23T00:00:00,192.168.1.236,192.168.1.118,UDP,allowed,benign,firewall,1650,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/
2024-06-17T00:00:00,192.168.1.18,192.168.1.248,HTTPS,blocked,benign,application,33484,Nmap Scripting Engine,/admin/config
2024-06-18T00:00:00,217.89.155.68,192.168.1.225,SSH,allowed,benign,application,7204,SQLMap/1.6-dev,/home/user
2024-06-25T00:00:00,144.138.68.192,192.168.1.112,HTTP,allowed,benign,ids,3008,Nmap Scripting Engine,/login
2024-09-23T00:00:00,137.197.33.33,192.168.1.176,HTTPS,allowed,benign,ids,21739,SQLMap/1.6-dev,/auth
2024-12-05T00:00:00,221.28.64.50,192.168.1.231,UDP,blocked,benign,application,19476,SQLMap/1.6-dev,/
2024-04-08T00:00:00,192.168.1.241,192.168.1.98,HTTP,allowed,benign,application,37396,curl/7.64.1,/api/login
2024-10-07T00:00:00,235.165.118.37,192.168.1.74,TCP,blocked,benign,ids,33600,Nmap Scripting Engine,/
2024-12-03T00:00:00,192.168.1.132,192.168.1.170,HTTP,blocked,benign,firewall,49326,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/wp-login.php
2024-06-07T00:00:00,192.168.1.51,192.168.1.38,TCP,allowed,benign,ids,40160,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/
2024-07-31T00:00:00,177.52.183.80,192.168.1.50,HTTPS,blocked,suspicious,ids,45164,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/login?backup.sql
2024-04-22T00:00:00,192.168.1.246,192.168.1.179,HTTP,allowed,benign,application,16431,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/api/login
2024-03-09T00:00:00,122.63.201.122,192.168.1.136,SSH,blocked,benign,ids,33181,Nmap Scripting Engine,/home/user
